cycle_count,nominal_capacity_ah,voltage_v,current_a,temperature_c,charge_voltage,discharge_cutoff,avg_charge_current,avg_discharge_curr,depth_of_discharge,charge_time_h,rest_time_h,coulombic_efficiency,internal_resistance,max_temp_seen,min_temp_seen,humidity_pct,overcharge_events,overdischarge_events,battery_chemistry,battery_age_days,soh_percent,rul_cycles,fault_type,fault_label
1126,60,3.2485,-2.642,17.28,4.1573,2.7109,2.055,0.328,0.5911,7.305,1.102,0.98112,0.12231,18.42,17.16,48.2,1,0,LTO,736,78.14,6905,0,Normal
1459,50,3.8538,6.79,39.59,4.2102,2.7968,0.521,1.854,0.5323,5.123,9.208,0.98896,0.1548,41.15,26.32,63.1,2,0,LFP,1013,72.45,1498,0,Normal
860,150,3.2418,32.71,20.79,4.135,2.5751,1.315,0.522,0.7526,1.806,0.054,0.95915,0.10351,28.59,16.41,64.0,4,1,NMC,587,80.17,552,3,Deep_Discharge
1294,100,2.8768,-12.104,22.61,4.1177,2.9028,0.639,1.476,0.9746,2.278,9.893,0.98086,0.13423,40.61,16.46,55.1,0,0,NMC,913,72.63,211,3,Deep_Discharge
1130,60,3.3417,20.788,25.57,4.2484,2.8985,1.27,2.862,0.7236,4.845,1.738,0.9725,0.12984,38.3,11.6,59.7,0,0,NMC,798,79.48,387,2,Overcharge
1095,75,3.8461,-16.352,41.25,4.0056,2.7952,2.199,2.322,0.4217,2.033,3.706,0.98092,0.12846,59.32,33.87,39.8,2,1,LFP,746,79.02,1879,0,Normal
1724,75,3.2741,0.877,38.1,4.0829,2.8731,0.978,1.944,0.5298,0.329,4.415,0.98194,0.17489,46.3,25.4,70.2,1,1,LTO,1219,61.86,6262,0,Normal
1044,75,3.7129,-15.896,28.59,4.2296,2.9943,1.929,1.211,0.6815,2.302,5.277,1.0,0.1298,30.09,23.35,60.4,2,0,LFP,734,76.59,1874,2,Overcharge
1638,150,3.7572,-7.426,34.01,4.1607,2.9613,0.896,3.173,0.5193,0.696,5.606,0.97616,0.16445,39.91,20.26,12.0,1,0,LFP,1190,66.61,1299,0,Normal
121,75,3.8639,-13.571,33.76,4.1355,2.8057,2.265,2.964,0.6235,7.212,7.612,1.0,0.04364,49.17,32.02,38.8,0,0,LFP,91,96.87,2877,0,Normal
466,75,4.1008,13.964,19.97,4.1594,2.7557,2.376,3.383,0.705,5.588,5.442,0.98706,0.08108,30.46,12.78,59.5,0,2,NMC,295,88.38,986,3,Deep_Discharge
1238,50,3.4272,-9.945,20.66,4.0805,2.7673,1.069,4.007,0.7942,0.527,9.044,1.0,0.13795,35.97,7.36,52.9,2,0,NMC,920,75.59,166,0,Normal
330,50,3.0413,10.604,9.63,4.0178,2.7333,0.267,3.701,0.4645,0.673,1.35,0.93546,0.06833,21.63,0.88,65.6,1,0,NMC,240,94.99,1210,4,Internal_Short
1482,60,3.2624,-10.537,44.91,4.0688,2.7401,0.561,4.795,0.6291,0.522,3.756,0.99157,0.16125,62.01,38.15,59.8,2,1,LFP,1025,69.02,1361,0,Normal
87,50,3.4266,-0.111,23.3,4.0841,2.866,1.575,1.013,0.5855,6.435,2.955,0.99924,0.04777,27.01,14.41,57.7,2,0,LTO,57,96.76,7816,0,Normal
1396,100,3.8351,29.152,30.14,4.12,2.9961,1.27,4.767,0.3672,6.352,3.755,0.9645,0.14677,36.26,21.75,90.2,2,0,NMC,984,73.59,76,0,Normal
1123,100,2.819,-14.91,35.39,4.0985,2.5227,1.168,1.026,0.7214,5.981,2.403,0.99112,0.13084,51.34,32.01,43.5,0,0,NCA,775,76.02,0,3,Deep_Discharge
871,50,3.2579,-14.531,20.29,4.1303,2.6151,1.822,4.246,0.8455,1.458,10.449,0.98583,0.11793,27.88,8.71,40.4,0,2,NMC,601,82.58,672,0,Normal
1687,100,3.9308,-4.924,21.52,4.049,2.6051,0.652,3.985,0.8952,7.897,5.896,1.0,0.17874,28.59,16.02,63.0,1,0,NMC,1171,62.89,0,0,Normal
130,60,3.7727,-0.352,20.79,4.046,2.9164,1.479,3.397,0.3513,6.81,7.483,0.95299,0.04671,33.57,19.38,39.3,0,0,LTO,91,99.0,7876,0,Normal
1685,60,3.861,12.416,1.03,4.0879,2.7099,0.769,3.59,0.6952,5.25,9.042,0.96942,0.16632,12.29,-2.72,73.5,4,0,LFP,1142,65.66,1271,0,Normal
1332,60,3.9771,0.86,29.35,4.1184,2.7626,2.947,3.519,0.991,5.536,3.665,0.98769,0.14964,33.72,16.89,77.1,3,0,LTO,993,71.03,6623,3,Deep_Discharge
769,60,3.9357,4.904,53.37,4.0854,2.7346,0.336,2.744,0.8286,3.256,10.48,0.98176,0.10958,58.38,38.62,75.9,2,0,LFP,473,85.5,2160,0,Normal
343,60,3.7892,-23.087,24.71,4.1441,2.9268,0.244,0.357,0.7128,4.694,5.392,0.98545,0.07684,34.27,10.88,69.3,2,1,NMC,195,95.05,1085,1,Thermal_Runaway_Risk
1515,75,3.4375,6.031,24.98,4.0775,2.7499,1.78,2.982,0.3209,2.955,7.658,0.98082,0.1631,35.44,18.81,47.9,2,4,NCA,1061,69.48,0,3,Deep_Discharge
1437,75,4.2262,6.566,26.3,4.0443,2.8339,0.375,2.068,0.3438,5.801,0.32,0.97261,0.15497,38.85,25.36,56.5,3,1,NMC,972,71.02,40,0,Normal
805,200,3.6252,13.432,33.12,4.2157,2.5097,2.471,1.507,0.3372,2.886,5.065,0.9677,0.09853,49.13,27.88,46.3,2,2,NMC,506,81.74,574,3,Deep_Discharge
385,50,3.094,-6.567,38.81,4.0502,2.8262,2.495,2.553,0.8558,7.621,3.522,0.96488,0.06328,57.56,28.43,59.5,1,1,LTO,282,91.33,7624,0,Normal
1215,50,3.2246,-0.135,21.66,4.2417,2.6205,1.41,4.271,0.6804,7.752,0.421,0.97728,0.14333,36.39,6.88,67.0,1,0,NCA,862,72.09,0,2,Overcharge
955,50,3.8057,14.127,34.63,4.2469,2.9334,2.547,2.976,0.5143,2.249,4.21,0.96582,0.11698,50.03,24.22,55.0,0,0,LFP,656,82.67,2007,2,Overcharge
276,75,4.1409,-21.173,29.14,4.1742,2.8758,2.273,4.831,0.9128,6.641,10.061,0.99454,0.07074,47.38,26.08,73.1,0,0,LTO,194,91.78,7723,0,Normal
1184,50,3.0591,-35.9,32.99,4.1255,2.5546,0.579,2.219,0.8681,1.08,10.709,0.96983,0.13433,38.85,29.7,37.8,2,0,NMC,836,74.03,257,3,Deep_Discharge
459,100,2.9194,-22.179,34.51,4.1989,2.5517,2.607,1.008,0.8447,2.276,6.842,0.96119,0.07503,45.61,23.17,43.5,1,1,LTO,304,86.43,7478,3,Deep_Discharge
1337,75,4.0782,-12.786,20.25,4.2183,2.6465,2.648,1.71,0.8417,2.33,11.8,0.97749,0.15163,38.26,10.92,84.1,2,2,LFP,994,73.85,1664,0,Normal
21,75,4.1272,21.448,24.74,4.1774,2.5629,1.104,0.894,0.434,5.096,11.082,0.99143,0.04258,36.96,22.97,70.5,0,0,NCA,31,100.0,1173,3,Deep_Discharge
252,75,3.2008,40.585,34.62,4.0255,2.8702,2.37,3.487,0.913,7.372,8.037,0.98153,0.06285,48.57,30.18,52.8,1,1,NCA,150,93.61,866,0,Normal
747,60,3.3471,-18.189,28.6,4.0007,2.9934,2.713,0.966,0.4378,2.585,2.411,0.99185,0.09768,33.34,15.2,45.7,0,1,LFP,540,85.7,2271,2,Overcharge
856,60,3.7573,-1.684,37.92,4.048,2.8276,2.288,2.688,0.9042,3.574,1.452,0.9706,0.10836,38.42,31.45,44.2,1,2,NMC,581,80.42,617,0,Normal
1584,60,3.2784,-10.537,27.78,4.0471,2.6245,0.463,4.632,0.9241,3.303,7.921,0.99383,0.17338,28.7,25.47,53.3,2,1,NMC,1148,66.68,0,0,Normal
474,75,4.0719,9.624,40.1,4.0456,2.7821,0.465,2.283,0.7987,3.229,4.887,0.99509,0.07526,41.77,29.14,50.7,1,0,NCA,311,89.68,629,0,Normal
1082,60,2.956,5.598,10.37,4.1274,2.9028,2.951,2.133,0.7962,4.737,0.587,0.99467,0.13391,22.55,8.77,40.3,1,0,NMC,737,75.3,368,0,Normal
510,50,2.8551,-17.532,33.23,4.13,2.9811,1.716,1.175,0.4825,5.484,10.82,0.9514,0.09246,38.93,24.49,56.4,0,0,NMC,327,91.03,997,0,Normal
1705,200,3.1023,-12.423,17.1,4.1808,2.5025,2.004,3.818,0.5192,3.364,0.613,0.97932,0.17958,23.22,13.66,62.1,5,2,LFP,1208,65.15,1149,3,Deep_Discharge
1499,50,3.2148,-2.86,41.21,4.0504,2.7618,2.754,1.66,0.7008,6.51,9.496,0.96273,0.15705,48.19,30.94,43.1,2,0,NMC,1019,66.28,0,0,Normal
699,100,2.9637,24.605,28.51,4.0232,2.7266,0.221,4.954,0.7007,4.827,6.52,0.98046,0.09336,35.25,27.4,59.2,0,0,NMC,508,83.98,785,0,Normal
975,100,2.8953,-13.076,26.59,4.1665,2.7072,1.395,1.0,0.5377,2.392,5.105,0.99668,0.12036,45.34,21.99,77.4,1,1,NMC,704,79.15,515,3,Deep_Discharge
1806,60,3.8956,-31.027,21.74,4.121,2.7519,1.786,0.211,0.9276,3.161,8.149,0.97492,0.17999,29.18,12.39,47.3,1,0,LTO,1275,61.39,6172,0,Normal
189,50,3.0382,26.06,36.64,4.1666,2.7018,0.206,2.789,0.3918,7.721,5.804,0.98625,0.0603,46.77,28.72,48.8,0,0,NMC,156,97.65,1292,0,Normal
957,50,4.1252,9.946,35.68,4.0952,2.672,1.948,0.529,0.5727,4.94,7.098,0.9852,0.11793,48.51,22.75,36.9,1,1,LFP,628,80.75,1975,0,Normal
686,100,3.3336,-23.258,27.18,4.1877,2.5574,2.583,1.974,0.481,4.156,6.952,0.98332,0.08896,46.82,26.43,62.7,1,0,LFP,526,84.86,2357,3,Deep_Discharge
957,75,3.7724,6.127,36.65,4.1707,2.7499,0.354,2.368,0.9503,2.203,7.215,0.94405,0.11586,51.37,32.06,51.8,3,0,LTO,681,79.25,6968,3,Deep_Discharge
562,100,3.1268,16.233,32.21,4.1626,2.9105,2.452,1.392,0.4,4.405,11.894,0.97819,0.08582,44.2,31.82,35.8,2,0,LFP,404,90.91,2328,0,Normal
1899,150,3.1485,1.875,30.86,4.0069,2.5524,2.937,4.895,0.6295,0.928,3.517,0.99736,0.18639,36.96,15.99,35.9,5,0,NCA,1316,61.44,0,3,Deep_Discharge
1590,100,3.6333,27.252,37.83,4.2145,2.8692,2.777,1.855,0.3295,3.381,3.69,0.97672,0.1586,55.59,31.31,42.1,1,1,LFP,1087,70.03,1301,0,Normal
1267,60,3.6129,11.107,48.11,4.0942,2.6339,1.704,0.895,0.8449,6.972,4.345,0.97948,0.14521,62.85,36.49,79.3,1,2,NMC,906,73.44,109,0,Normal
831,60,3.9147,6.11,32.82,4.0339,2.6906,2.609,0.379,0.7628,3.626,10.829,0.99272,0.10941,35.34,32.29,63.2,0,2,NCA,541,82.17,365,0,Normal
1528,100,3.8988,4.078,32.83,4.1889,2.994,2.358,1.685,0.8899,6.782,6.642,1.0,0.15562,47.16,25.76,42.1,3,0,LFP,1071,65.76,1362,0,Normal
1154,60,3.7725,2.718,39.19,4.1216,2.8376,2.489,4.141,0.505,0.608,11.138,0.99355,0.13072,40.14,24.34,47.1,0,0,NMC,866,75.92,293,0,Normal
1508,50,3.4512,17.561,20.48,4.008,2.8596,1.315,1.38,0.6871,1.367,9.09,1.0,0.17586,37.32,11.85,56.4,0,0,NCA,1046,72.18,0,0,Normal
1842,100,4.0914,-2.992,28.17,4.1955,2.8012,1.532,3.074,0.9709,5.948,3.015,0.97172,0.19189,44.37,15.9,35.4,1,1,NMC,1284,61.16,0,3,Deep_Discharge
646,75,3.7027,18.991,26.14,4.1088,2.6612,0.87,4.948,0.4769,6.032,6.849,0.98147,0.08758,41.83,13.58,100.0,2,0,LTO,417,87.5,7441,0,Normal
